Norway's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,18KM,1
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,50KM,1
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,Individual,1
1924,Chamonix,Skiing,"THAMS, Jacob Tullin",NOR,Men,K90 Individual (70M),1
1928,St.Moritz,Skating,"HENIE, Sonja",NOR,Women,Individual,1
1928,St.Moritz,Skating,"BALLANGRUD, Ivar",NOR,Men,5000M,1
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,500M,1
1928,St.Moritz,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,1
1928,St.Moritz,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,1
1928,St.Moritz,Skiing,"ANDERSEN, Alf",NOR,Men,K90 Individual (70M),1
1932,Lake Placid,Skating,"HENIE, Sonja",NOR,Women,Individual,1
1932,Lake Placid,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,1
1932,Lake Placid,Skiing,"RUUD, Birger",NOR,Men,K90 Individual (70M),1
1936,Garmisch Partenkirchen,Skating,"HENIE, Sonja",NOR,Women,Individual,1
1936,Garmisch Partenkirchen,Skating,"BALLANGRUD, Ivar",NOR,Men,10000M,1
1936,Garmisch Partenkirchen,Skating,"MATHISEN, Charles",NOR,Men,1500M,1
1936,Garmisch Partenkirchen,Skating,"BALLANGRUD, Ivar",NOR,Men,5000M,1
1936,Garmisch Partenkirchen,Skating,"BALLANGRUD, Ivar",NOR,Men,500M,1
1936,Garmisch Partenkirchen,Skiing,"HAGEN, Oddbjorn",NOR,Men,Individual,1
1936,Garmisch Partenkirchen,Skiing,"RUUD, Birger",NOR,Men,K90 Individual (70M),1
1948,St.Moritz,Skating,"FARSTAD, Sverre",NOR,Men,1500M,1
1948,St.Moritz,Skating,"LIAKLEV, Reidar",NOR,Men,5000M,1
1948,St.Moritz,Skating,"HELGESEN, Finn",NOR,Men,500M,1
1948,St.Moritz,Skiing,"HUGSTED, Petter",NOR,Men,K90 Individual (70M),1
1952,Oslo,Skating,"ANDERSEN, Hjalmar",NOR,Men,10000M,1
1952,Oslo,Skating,"ANDERSEN, Hjalmar",NOR,Men,1500M,1
1952,Oslo,Skating,"ANDERSEN, Hjalmar",NOR,Men,5000M,1
1952,Oslo,Skiing,"ERIKSEN, Stein",NOR,Men,Giant Slalom,1
1952,Oslo,Skiing,"BRENDEN, Hallgeir",NOR,Men,18KM,1
1952,Oslo,Skiing,"SLATTVIK, Simon",NOR,Men,Individual,1
1952,Oslo,Skiing,"BERGMANN, Arnfinn",NOR,Men,K90 Individual (70M),1
1956,Cortina d'Ampezzo,Skiing,"BRENDEN, Hallgeir",NOR,Men,15KM,1
1956,Cortina d'Ampezzo,Skiing,"STENERSEN, Sverre",NOR,Men,Individual,1
1960,Squaw Valley,Skating,"JOHANNESEN, Knut",NOR,Men,10000M,1
1960,Squaw Valley,Skating,"AAS, Roald",NOR,Men,1500M,1
1960,Squaw Valley,Skiing,"BRUSVEEN, Haakon",NOR,Men,15KM,1
1964,Innsbruck,Skating,"JOHANNESEN, Knut",NOR,Men,5000M,1
1964,Innsbruck,Skiing,"KNUTSEN, Tormod",NOR,Men,Individual,1
1964,Innsbruck,Skiing,"ENGAN, Toralf",NOR,Men,K120 Individual (90M),1
1968,Grenoble,Biathlon,"SOLBERG, Magnar",NOR,Men,20KM,1
1968,Grenoble,Skating,"MAIER, Fred Anton",NOR,Men,5000M,1
1968,Grenoble,Skiing,"GR’_NNINGEN, Harald",NOR,Men,15KM,1
1968,Grenoble,Skiing,"AUFLES, Inger",NOR,Women,3X5KM Relay,1
1968,Grenoble,Skiing,"ENGER, Babben",NOR,Women,3X5KM Relay,1
1968,Grenoble,Skiing,"M’_RDRE, Berit",NOR,Women,3X5KM Relay,1
1968,Grenoble,Skiing,"ELLEFSAETER, Ole",NOR,Men,4X10KM Relay,1
1968,Grenoble,Skiing,"GR’_NNINGEN, Harald",NOR,Men,4X10KM Relay,1
1968,Grenoble,Skiing,"MARTINSEN, Odd",NOR,Men,4X10KM Relay,1
1968,Grenoble,Skiing,"TYLDUM, Paal",NOR,Men,4X10KM Relay,1
1968,Grenoble,Skiing,"ELLEFSAETER, Ole",NOR,Men,50KM,1
1972,Sapporo,Biathlon,"SOLBERG, Magnar",NOR,Men,20KM,1
1972,Sapporo,Skiing,"TYLDUM, Paal",NOR,Men,50KM,1
1976,Innsbruck,Skating,"STORHOLT, Jan Egil",NOR,Men,1500M,1
1976,Innsbruck,Skating,"STENSEN, Sten",NOR,Men,5000M,1
1976,Innsbruck,Skiing,"FORMO, Ivar",NOR,Men,50KM,1
1980,Lake Placid,Skating,"JENSEN, Bj’_rg Eva",NOR,Women,3000M,1
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,10KM,1
1984,Sarajevo,Skiing,"AUNLI, Berit",NOR,Women,4X5KM Relay,1
1984,Sarajevo,Skiing,"JAHREN, Anne",NOR,Women,4X5KM Relay,1
1984,Sarajevo,Skiing,"NYBRAATEN, Inger Helene",NOR,Women,4X5KM Relay,1
1984,Sarajevo,Skiing,"PETTERSEN, Brit",NOR,Women,4X5KM Relay,1
1984,Sarajevo,Skiing,"SANDBERG, Tom",NOR,Men,Individual,1
1992,Albertville,Skating,"KOSS, Johann Olav",NOR,Men,1500M,1
1992,Albertville,Skating,"KARLSTAD, Geir",NOR,Men,5000M,1
1992,Albertville,Skiing,"JAGGE, Finn Christian",NOR,Men,Slalom,1
1992,Albertville,Skiing,"AAMODT, Kjetil Andre",NOR,Men,Super-G,1
1992,Albertville,Skiing,"ULVANG, Vegard",NOR,Men,10KM Pursuit,1
1992,Albertville,Skiing,"ULVANG, Vegard",NOR,Men,30KM Mass Start,1
1992,Albertville,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,4X10KM Relay,1
1992,Albertville,Skiing,"LANGLI, Terje",NOR,Men,4X10KM Relay,1
1992,Albertville,Skiing,"SKJELDAL, Kristen",NOR,Men,4X10KM Relay,1
1992,Albertville,Skiing,"ULVANG, Vegard",NOR,Men,4X10KM Relay,1
1992,Albertville,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,50KM,1
1992,Albertville,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,Combined 10KM + 15KM Pursuit,1
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,10000M,1
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,1500M,1
1994,Lillehammer,Skating,"KOSS, Johann Olav",NOR,Men,5000M,1
1994,Lillehammer,Skiing,"KJUS, Lasse",NOR,Men,Alpine Combined,1
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,10KM Pursuit,1
1994,Lillehammer,Skiing,"ALSGAARD, Thomas",NOR,Men,30KM Mass Start,1
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,Combined 10KM + 15KM Pursuit,1
1994,Lillehammer,Skiing,"HATTESTAD, Stine Lise",NOR,Women,Moguls,1
