United States's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Skating,"JEWTRAW, Charles",USA,Men,500M,1
1928,St.Moritz,Bobsleigh,"FISKE, William",USA,Men,Five-Man,1
1928,St.Moritz,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Five-Man,1
1928,St.Moritz,Bobsleigh,"MASON, Geoffrey Travers",USA,Men,Five-Man,1
1928,St.Moritz,Bobsleigh,"PARKE, Richard",USA,Men,Five-Man,1
1928,St.Moritz,Bobsleigh,"TUCKER, Nion",USA,Men,Five-Man,1
1928,St.Moritz,Bobsleigh,"HEATON, Jennison",USA,Men,Individual,1
1932,Lake Placid,Bobsleigh,"EAGAN, Edward",USA,Men,Four-Man,1
1932,Lake Placid,Bobsleigh,"FISKE, William",USA,Men,Four-Man,1
1932,Lake Placid,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Four-Man,1
1932,Lake Placid,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Four-Man,1
1932,Lake Placid,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Four-Man,1
1932,Lake Placid,Bobsleigh,"ARTHUR, Adams",USA,Men,Two-Man,1
1932,Lake Placid,Bobsleigh,"STEVENS, Curtis",USA,Men,Two-Man,1
1932,Lake Placid,Skating,"JAFFEE, Irving",USA,Men,10000M,1
1932,Lake Placid,Skating,"SHEA, John A.",USA,Men,1500M,1
1932,Lake Placid,Skating,"JAFFEE, Irving",USA,Men,5000M,1
1932,Lake Placid,Skating,"SHEA, John A.",USA,Men,500M,1
1936,Garmisch Partenkirchen,Bobsleigh,"BROWN, Ivan Elmore",USA,Men,Two-Man,1
1936,Garmisch Partenkirchen,Bobsleigh,"WASHBOND, Alan M.",USA,Men,Two-Man,1
1948,St.Moritz,Bobsleigh,"D'AMICO, William",USA,Men,Four-Man,1
1948,St.Moritz,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Four-Man,1
1948,St.Moritz,Bobsleigh,"RIMKUS, Edward",USA,Men,Four-Man,1
1948,St.Moritz,Bobsleigh,"TYLER, Francis William",USA,Men,Four-Man,1
1948,St.Moritz,Skating,"BUTTON, Richard",USA,Men,Individual,1
